Model name                            : MLP_Multistep
The number of input features          : 3
The number of output features         : 2
Optimizer name                        : SGD
Learning rate                         : 0.001
Max number of iterations              : 3000
Number of samples in training data    : 171
Number of samples in tests data       : 73
Total training time                   : 5.1776487827301025
Total number of parameters            : 201902
Percentage of parameters < 1e-9       : 49.70381670315302%
Percentage of parameters < 1e-7       : 49.70381670315302%
Percentage of parameters < 1e-6       : 49.70480728274113%

=============================================
=============================================
===================Losses====================
=============================================
=============================================


Loss at iteration [564]: 1.2602757617416702
Loss at iteration [565]: 1.2602361901542602
Loss at iteration [566]: 1.2601966377855234
Loss at iteration [567]: 1.2601572941104253
Loss at iteration [568]: 1.2601180958630742
Loss at iteration [569]: 1.260079191219247
Loss at iteration [570]: 1.2600405859702624
Loss at iteration [571]: 1.2600024624198993
Loss at iteration [572]: 1.2599643983056308
Loss at iteration [573]: 1.2599269817502272
Loss at iteration [574]: 1.2598895987784788
Loss at iteration [575]: 1.25985227293425
Loss at iteration [576]: 1.2598151742473334
Loss at iteration [577]: 1.2597788709032605
Loss at iteration [578]: 1.2597424841581035
Loss at iteration [579]: 1.259706458163027
Loss at iteration [580]: 1.2596705314880712
Loss at iteration [581]: 1.259634794785069
Loss at iteration [582]: 1.2595994912819453
Loss at iteration [583]: 1.2595644405747914
Loss at iteration [584]: 1.259529244046727
Loss at iteration [585]: 1.259494559990419
Loss at iteration [586]: 1.2594600511099874
Loss at iteration [587]: 1.259425661295982
Loss at iteration [588]: 1.2593919026585396
Loss at iteration [589]: 1.259358541090443
Loss at iteration [590]: 1.259325167610311
Loss at iteration [591]: 1.2592919866740155
Loss at iteration [592]: 1.2592592463504764
Loss at iteration [593]: 1.25922634102276
Loss at iteration [594]: 1.259194196990758
Loss at iteration [595]: 1.2591624801199355
Loss at iteration [596]: 1.2591305995881836
Loss at iteration [597]: 1.2590993150828544
Loss at iteration [598]: 1.2590679595663004
Loss at iteration [599]: 1.259037082335615
Loss at iteration [600]: 1.2590060614151048
Loss at iteration [601]: 1.2589755332896337
Loss at iteration [602]: 1.2589449129262744
Loss at iteration [603]: 1.258914699313436
Loss at iteration [604]: 1.258884538614013
Loss at iteration [605]: 1.2588548364357262
Loss at iteration [606]: 1.2588253655297728
Loss at iteration [607]: 1.2587960788252308
Loss at iteration [608]: 1.2587671984242679
Loss at iteration [609]: 1.2587383973708899
Loss at iteration [610]: 1.2587097974307253
Loss at iteration [611]: 1.2586813943011637
Loss at iteration [612]: 1.2586529085772378
Loss at iteration [613]: 1.2586252690091266
Loss at iteration [614]: 1.258596915209021
Loss at iteration [615]: 1.2585689838804683
Loss at iteration [616]: 1.2585410279591627
Loss at iteration [617]: 1.2585135336959732
Loss at iteration [618]: 1.2584855587765922
Loss at iteration [619]: 1.2584583071999327
Loss at iteration [620]: 1.258431067693132
Loss at iteration [621]: 1.2584041601696856
Loss at iteration [622]: 1.2583773025368887
Loss at iteration [623]: 1.258350678744183
Loss at iteration [624]: 1.2583240930389843
Loss at iteration [625]: 1.2582981316034412
Loss at iteration [626]: 1.2582716743188858
Loss at iteration [627]: 1.2582456445988723
Loss at iteration [628]: 1.2582196748781054
